id,nombre,pelicula_1,score_1,pelicula_2,score_2,pelicula_3,score_3,pelicula_4,score_4,pelicula_5,score_5
U01,Valentina,Inseparables (1989),0.145939824079236,Cabin fever 2 (2011),0.14100386266012244,Los ríos de color púrpura 2: Los ángeles del apocalipsis (2004),0.14031450525113706,El hombre sin sombra (2000),0.1249287941037927,Suavemente me mata (2002),0.12361416701916168
U02,Rodrigo,Maleficio (2006),0.3695903426367584,El expreso de Elmira (2008),0.21756406947487145,"Buenas noches, y buena suerte. (2006)",0.20130229849771575,El asesinato de Richard Nixon (2006),0.18855456354397154,Machuca (2004),0.09884056787147205
U03,Camila,Loverboy (1989),0.15667965114253943,Padre Made in USA (2005),0.14289243159182402,Forasteros en Nueva York (1999),0.13329452299768174,Testigo accidental (1990),0.13216284873800518,La posesión (1981),0.12888037245876038
U04,Tomás,Gothika (2004),0.12274490153520537,Halloweentown: ¡Qué familia la mía! (1998),0.11806477361222248,Así se hace (2001),0.11618379207715686,El aceite de la vida (1993),0.09463643282618467,Joint Security Area (JSA) (2000),0.09386245574887912
U05,Lucía,V de Vendetta (2006),0.15794479872875128,Samurai Jack (2017),0.14501167088850853,Haru en el reino de los gatos (2002),0.14095872152533062,Cheque en blanco (1994),0.13840300614638867,Libertad para morir (1991),0.13666756411574574
U06,Martín,Phantoms (1998),0.135779973893331,Los idiotas (1999),0.12582335567668995,La cena (2010),0.12438910478001282,Pret-a-porter (1995),0.12109254519392723,La rebelión de las máquinas (1986),0.11834033069530606
U07,Sofía,The Shield: Al margen de la ley (2003),0.12110176725479914,Begotten (1991),0.11745788075663963,"Adiós, muchachos (1989)",0.11626190599994428,Los fabulosos Baker Boys (1990),0.11334992920121742,El rey de la comedia (1982),0.11131871883878033
U08,Diego,Las aventuras de Jackie Chan (2000),0.24282933589121547,Justa venganza (2005),0.21242787652612963,Pusher 3: Soy el ángel de la muerte (2005),0.1995467652255795,Air America (1990),0.18286979571778184,Luna negra (1987),0.14521885345957605
U09,Elena,Padre Ted (1995),0.12165917194385616,Algo en común (2005),0.1200953676467746,Click (2006),0.11704098932967077,Bienvenido a Mooseport (2004),0.11697031077485325,South Park (1997),0.10533094723843835
U10,Facundo,Koyaanisqatsi (1984),0.19986936047627077,Innocence (2005),0.19546229889427313,Noviembre dulce (2001),0.1481675290791971,Lars y una chica de verdad (2008),0.14810953074165434,Juno (2008),0.142691495799822
U11,Julián,Pride & Prejudice (Orgullo y prejuicio) (2006),0.21137820375118344,El príncipe y yo (2004),0.11966844282725682,Salvaje (The Wild) (2006),0.11550206055682682,Los Tommyknockers (1993),0.11393597962851226,RoboCop 2 (1991),0.11266100443309641
U12,Mariana,Déjà vu (2006),0.0,"Warlock, el brujo (1990)",0.0,Fuga mortal (1993),0.0,Ted Bundy (2003),0.0,The Zodiac (2006),0.0
U13,Nicolás,El señor de los anillos: El retorno del rey (2003),0.23960895057051768,Kill Bill: Volumen 2 (2004),0.21003974002320722,El señor de los anillos: Las dos torres (2002),0.1963024849762061,La leyenda de Billie Jean (1985),0.13346944489408968,Titanic - La película animada (2000),0.11012082797800822
U14,Paula,Quiero ser como Beckham (2002),0.16497746277275757,Billy Elliot (Quiero bailar) (2001),0.16020854967475834,Quiero ser superfamosa (2004),0.15318047525322345,Joint Security Area (JSA) (2000),0.15200119709402277,Posdata: Te quiero (2008),0.14132994579632066
